# C172 CD as function of alpha

-179.999848     0.15
-167.9998199    0.2
-149.9997778    0.4
-119.9997077    0.65
-89.9996375     1
-59.99956735    0.65
-29.9994972     0.4
-14.99946212    0.08
-5.999441073    0.035
-4.99962972     0.033
-3.999818368    0.031
-2.999434058    0.03
-1.999622705    0.03
-0.999811353    0.031
0               0.033
0.999811353     0.035
2.000195663     0.038
3.000007015     0.042
3.999818368     0.046
5.000202678     0.051
6.000014031     0.056
8.000209693     0.069
9.000021046     0.076
9.999832398     0.084
11.00021671     0.093
12.00002806     0.102
12.99983941     0.112
14.00022372     0.115
15.00003508     0.12
15.99984643     0.13
17.00023074     0.138
18.00004209     0.145
18.99985344     0.15
20.00023775     0.165
21.00004911     0.175
21.99986046     0.35
30.00007015     0.65
60.00014031     1
90.00021046     0.65
119.9997077     0.4
149.9997778     0.2
175.0002182     0.15
179.999848      0.15
